id,state,name,address,address2,postcode,city,state_id,tel,fax,website,email,image,latitude,longitude,likes,rating,status
1,PULAU PINANG,Klinik 1 Malaysia Alma Jaya,"No. 38, Tingkat Bawah , Lorong Alma Jaya II, Taman Alma Jaya Bukit Mertajam","Seberang Perai Tengah, Pulau Pinang",14000,Bukit Mertajam,9,04-5521033,,,,,0,0,0,0,NEW
2,PERAK,Klinik 1 Malaysia Aulong,"N0 51 &53, Jalan Medan Bersatu, Taman Medan Bersatu,Taiping","Larut Matang, Perak",34000,Taiping,7,05-8068867,,,,,0,0,0,0,NEW
3,SABAH,Klinik 1 Malaysia Bandar Lela,"Lot 7A &7B, Tingkat Bawah, Blok B Mile 1, Jalan Leila Sandakan","Sandakan, Sabah",90700,Bandar Lela,12,089-613204,,,,,0,0,0,0,NEW
4,KEDAH,Klinik 1 Malaysia Bandar Puteri Jaya,"No.41, Tingkat Bawah, Jalan Puteri Jaya 1/1, Bandar Puteri Jaya, Sungai Petani","Kuala Muda, Kedah",8000,Sungai Petani,2,04-4243662,,,,,0,0,0,0,NEW
5,PERAK,Klinik 1 Malaysia Bandar seri Iskandar,"N0.32 Blod D, Bangunan Rumah Kedai, Bandar Seri Isandar","Perak Tengah, Perak",32600,Bandar Seri Iskandar,7,05-3714260,05-3714260,,,,0,0,0,0,NEW
6,JOHOR,Klinik 1 Malaysia Bandar Sri Alam,"Blok A, Rumah Pangsa Sri Alam, Jalan Pangsa 64, Bandar Sri Alam, Johor Bahru","Johor Bahru, Johor",81750,Johor Bahru,1,07-2523001,,,,,0,0,0,0,NEW
7,SABAH,Klinik 1 Malaysia Bandar Sri Indah,"Lot 334, Tingkat Bawah, Bandar Sri Indah Batu 10 Jalan Apas, Tawau","Tawau, Sabah",91000,Bandar Sri Indah,12,089-754171,,,,,0,0,0,0,NEW
8,MELAKA,Klinik 1 Malaysia Batu Berendam,"No.39, Jalan M1, Batu Berendam","Melaka Tengah, Melaka",75350,Melaka,4,06-3170012,,,,,0,0,0,0,NEW
9,PULAU PINANG,Klinik 1 Malaysia Batu Kawan,"No.19 Lorong Cempaka 1, Taman Cempaka, Batu Kawan Simpang Empat, Seberang Perai Selatan","Seberang Perai Selatan, Pulau Pinang",14100,Seberang Perai Selatan,9,04-5880071,,,,,0,0,0,0,NEW
10,KELANTAN,Klinik 1 Malaysia Batu Melintang,"Kg Batu, Jeli","Jeli, Kelantan",17250,Jeli,3,09-9447622,09-9440275,,,,0,0,0,0,NEW
11,PERAK,Klinik 1 Malaysia Bercham,"No.6A-1 & 10, Persiaran Medan Bercham 7, Pusat Bandar Bercham Timur, Ipoh Perak","Kinta, Perak",31400,Ipoh,7,05-3600039,05-3600039,,,,0,0,0,0,NEW
